Rank,Artists,Song
1,The Weeknd & Ariana Grande,Save Your Tears
2,Silk Sonic (Bruno Mars & Anderson .Paak),Leave The Door Open
3,Justin Bieber Featuring Daniel Caesar & Giveon,Peaches
4,Polo G,Rapstar
5,Dua Lipa Featuring DaBaby,Levitating
6,Doja Cat Featuring SZA,Kiss Me More
7,Lil Nas X,Montero (Call Me By Your Name)
8,Masked Wolf,Astronaut In The Ocean
9,Cardi B,Up
10,Olivia Rodrigo,Drivers License
11,The Weeknd,Blinding Lights
12,Olivia Rodrigo,Deja Vu
13,SpotemGottem Featuring Pooh Shiesty Or DaBaby,Beat Box
14,Lil Tjay Featuring 6LACK,Calling My Phone
15,Lil Baby,On Me
16,Saweetie Featuring Doja Cat,Best Friend
17,Giveon,Heartbreak Anniversary
18,Maroon 5 Featuring Megan Thee Stallion,Beautiful Mistakes
19,Pop Smoke,What You Know Bout Love
20,24kGoldn Featuring iann dior,Mood
21,Machine Gun Kelly X blackbear,My Ex's Best Friend
22,Pooh Shiesty Featuring Lil Durk,Back In Blood
23,The Kid LAROI,Without You
24,Gabby Barrett,The Good Ones
25,Chris Brown & Young Thug,Go Crazy
26,Tate McRae,You Broke Me First.
27,Ariana Grande,34+35
28,Eric Church,Hell Of A View
29,Luke Combs,Forever After All
30,Drake,What's Next
31,Moneybagg Yo,Time Today
32,Billie Eilish,Therefore I Am
33,Bad Bunny & Jhay Cortez,Dakiti
34,Ariana Grande,Positions
35,Moneybagg Yo,Shottas (Lala)
36,Young Thug & Gunna Featuring Drake,Solid
37,Mooski,Track Star
38,Young Thug & Gunna,Ski
39,Drake Featuring Lil Baby,Wants And Needs
40,Yung Bleu Featuring Drake,You're Mines Still
41,Dua Lipa,We're Good
42,Glass Animals,Heat Waves
43,Jake Owen,Made For You
44,SZA,Good Days
45,Pop Smoke Featuring Lil Baby & DaBaby,For The Night
46,Sam Hunt,Breaking Up Was Easy In The 90's
47,Coi Leray Featuring Lil Durk,No More Parties
48,Travis Scott & HVME,Goosebumps
49,Kali Uchis,Telepatia
50,Rod Wave,Tombstone
51,Doja Cat,Streets
52,Moneybagg Yo Featuring BIG30,Go!
53,Moneybagg Yo & Future,Hard For The Next
54,Moneybagg Yo,If Pain Was A Person
55,Thomas Rhett,What's Your Country Song
56,Parmalee x Blanco Brown,Just The Way
57,Justin Bieber,Hold On
58,Miranda Lambert,Settling Down
59,Moneybagg Yo,Wockesha
60,Gera MX + Christian Nodal,Botella Tras Botella
61,Taylor Swift,Willow
62,H.E.R.,Damage
63,Rod Wave,Street Runner
64,H.E.R. Featuring Chris Brown,Come Through
65,Tenille Arts,Somebody Like That
66,Ariana Grande,pov
67,Nelly & Florida Georgia Line,Lil Bit
68,Dierks Bentley,Gone
69,Dylan Scott,Nobody
70,Chris Young + Kane Brown,Famous Friends
71,Morray,Quicksand
72,Brett Young,Lady
73,Tiesto,The Business
74,Bad Bunny & Rosalia,La Noche de Anoche
75,Keith Urban Duet With P!nk,One Too Many
76,Rod Wave Featuring Polo G,Richer
77,Jordan Davis,Almost Maybes
78,Imagine Dragons,Follow You
79,Dan + Shay,Glad You Exist
80,Moneybagg Yo Featuring Polo G & Lil Durk,Free Promo
81,Jazmine Sullivan,Pick Up Your Feelings
82,Moneybagg Yo,Just Say Det
83,Kevin Gates,Big Gangsta
84,Luke Bryan,Down To One
85,"Lil Tjay, Polo G & Fivio Foreign",Headshot
86,Lil Durk,Hellcats & Trackhawks
87,Justin Bieber,Anyone
88,Ava Max,My Head And My Heart
89,Rascal Flatts,How They Remember You
90,Duncan Laurence,Arcade
91,Elle King & Miranda Lambert,Drunk (And I Don't Wanna Go Home)
92,DaBaby,Masterpiece
93,Florida Georgia Line,Long Live
94,Ryan Hurd With Maren Morris,Chasing After You
95,Future & Lil Uzi Vert,Drankin N Smokin
96,42 Dugg & Roddy Ricch,4 Da Gang
97,Jason Aldean,Blame It On You
98,Morgan Wallen,Wasted On You
99,AJR,Way Less Sad
100,Moneybagg Yo,Clear Da Air
